arm,backend,precision,n_assets,instance,qaoa_seed,e1_run_id,P_F,P_tau_main,P_opt,Q_tau_main_1000,probs_sum,max_abs_dp_F,tv_F,tv_F_perp,dP_F,dP_tau_main,rel_dP_tau_main,max_abs_dp_all,tv_all
gpu_single,lightning_gpu,single,20,1,43,N20_i01_Aheur_s43,0.004211274511760621,8.644910849398002e-07,8.644910849398002e-07,0.0008641178935271387,1.0000021029441584,3.825010225386738e-12,4.093152100513778e-09,8.181055690799546e-09,8.175807180571537e-09,-4.486105337620148e-13,-5.189299332055228e-07,7.654085715930181e-10,1.0608849806421215e-06
sv1,braket_sv1,double,12,0,42,N12_i00_Aheur_s42,0.17169155625674473,0.002430905148508349,0.002430905148508349,0.9123027375906135,nan,2.224782857940255e-16,4.5475775922732e-15,9.099491993236342e-15,9.103828801926284e-15,1.8474805019152996e-16,7.599969513615495e-14,,
sv1,braket_sv1,double,12,0,43,N12_i00_Aheur_s43,0.009917302807928772,0.0001496150846432082,0.0001496150846432082,0.1389702980373847,nan,3.848917712323541e-18,3.7743788129651623e-17,5.5091022889419694e-17,3.469446951953614e-17,-6.505213034913027e-19,-4.347966015877466e-15,,
sv1,braket_sv1,double,12,1,42,N12_i01_Aheur_s42,0.178939551718306,0.0025384735742826486,0.0025384735742826486,0.9212676348723775,nan,5.28656979303932e-16,1.286037248915406e-14,2.5738959574805875e-14,-2.5757174171303632e-14,-3.959506333917062e-16,-1.5597981298802245e-13,,
sv1,braket_sv1,double,12,1,43,N12_i01_Aheur_s43,0.00993761195953237,0.00015015908573988646,0.00015015908573988646,0.1394386419369179,nan,4.526544070126981e-18,8.410698353056301e-17,1.6650634863946134e-16,1.6479873021779667e-16,1.599198204416119e-18,1.0650026247405049e-14,,
sv1,braket_sv1,double,16,0,42,N16_i00_Aheur_s42,0.3768272625237604,0.00200788620784121,0.0006685235229486105,0.8659985574457665,nan,1.8756697583999227e-17,2.5607229010848886e-15,5.114235857722749e-15,-5.10702591327572e-15,-2.688821387764051e-17,-1.3391303636947216e-14,,
sv1,braket_sv1,double,16,0,43,N16_i00_Aheur_s43,0.000567700716714817,3.040029232432894e-06,1.0201333632267687e-06,0.003035417629453363,nan,3.14460981668159e-19,3.83892272354594e-17,7.676998414144626e-17,7.676151381197371e-17,5.175371307723775e-19,1.7024084020346335e-13,,
sv1,braket_sv1,double,16,1,42,N16_i01_Aheur_s42,0.37734296358493397,0.0006705271372746446,0.0006705271372746446,0.48867610344807244,nan,2.3635607360183997e-17,4.7058711094560834e-15,9.39656338849737e-15,-9.381384558082573e-15,-1.2793585635328952e-17,-1.907989240723082e-14,,
sv1,braket_sv1,double,16,1,43,N16_i01_Aheur_s43,0.00053661426105244,9.502901506805473e-07,9.502901506805473e-07,0.0009498392190855354,nan,1.632656005832664e-19,2.0914037561096726e-17,4.129703840382421e-17,-4.0766001685454967e-17,-2.9963790509120874e-20,-3.1531201799430894e-14,,
sv1,braket_sv1,double,20,0,42,N20_i00_Aheur_s42,0.04699973801604228,3.92910839683133e-05,9.796359780321231e-06,0.038529942499295866,nan,2.8985467455042158e-18,6.346109754232568e-15,1.2695197676307682e-14,1.2698175844150228e-14,1.0970770732837698e-17,2.79217818008998e-13,,
sv1,braket_sv1,double,20,0,43,N20_i00_Aheur_s43,0.00424039151782412,3.4859580532491958e-06,8.714642327764908e-07,0.003479895210287798,nan,6.670384459627615e-20,1.3446812150295548e-16,2.6890919089115803e-16,-2.688821387764051e-16,-2.473336205982557e-19,-7.095140469854569e-14,,
sv1,braket_sv1,double,20,1,42,N20_i01_Aheur_s42,0.04747662860133328,9.881778840313444e-06,9.881778840313444e-06,0.009833162837473375,nan,1.904130065427667e-18,3.932080254117915e-15,7.866433097633314e-15,-7.868705687030797e-15,-1.582257545471033e-18,-1.6011869634400678e-13,,
sv1,braket_sv1,double,20,1,43,N20_i01_Aheur_s43,0.004211266335953491,8.64491533550342e-07,8.64491533550342e-07,0.0008641183417809062,nan,2.3399285167900047e-20,2.5242428861125404e-17,5.039591926278911e-17,5.0306980803327406e-17,8.046812998915853e-21,9.308145524420382e-15,,
