run_id,n_assets,instance,penalty_label,qaoa_seed,feasible_set_size,final_P_F,final_D_cond,initial_P_F,initial_D_cond,point_mass_D_cond
N12_i05_Aheur_s44,12,5,Aheur,44,66,0.5045547536574304,0.002087931606076442,0.11920964391902089,0.003355609431886877,0.9848484848484849
N12_i05_Aheur_s45,12,5,Aheur,45,66,0.12840595294255763,0.03215198384742808,0.06818544026464224,0.0024732418882831685,0.9848484848484849
N12_i05_Aheur_s46,12,5,Aheur,46,66,0.31894016778096557,0.003799105848745178,0.011550083669135347,0.011963003562111472,0.9848484848484849
N12_i05_Amargin_s42,12,5,Amargin,42,66,0.2149365935656533,0.43812750906681974,0.2502813243481796,0.4682809675765653,0.9848484848484849
N12_i05_Amargin_s43,12,5,Amargin,43,66,0.016747801055316813,0.04595045133201126,0.17994065955281258,0.04156469771741293,0.9848484848484849
N12_i05_Amargin_s44,12,5,Amargin,44,66,0.35387965897098184,0.10512091446282038,0.12367244123015553,0.06247147741536195,0.9848484848484849
N12_i05_Amargin_s45,12,5,Amargin,45,66,0.0547471318427597,0.4324612301350266,0.14904730694252066,0.1906304409750834,0.9848484848484849
N12_i05_Amargin_s46,12,5,Amargin,46,66,0.3194711799733341,0.20596217340696596,0.08227493477170356,0.16204261910482232,0.9848484848484849
N12_i06_1.1xAcrit_s42,12,6,1.1xAcrit,42,66,0.3244472418446094,0.062522485194033,0.12242560462073016,0.560490933415819,0.9848484848484849
N12_i06_1.1xAcrit_s43,12,6,1.1xAcrit,43,66,0.31467674672603607,0.40083618771688667,0.15047760668676347,0.03951566381888841,0.9848484848484849
N12_i06_1.1xAcrit_s44,12,6,1.1xAcrit,44,66,0.3428304025437683,0.10301304883660245,0.12269172281958163,0.06336703582680155,0.9848484848484849
N12_i06_1.1xAcrit_s45,12,6,1.1xAcrit,45,66,0.1448532087051717,0.5842172284358862,0.1126165505265817,0.15538492029340834,0.9848484848484849
N12_i06_1.1xAcrit_s46,12,6,1.1xAcrit,46,66,0.3278286757413298,0.14755025583551512,0.124024125514552,0.17886553123711924,0.9848484848484849
N12_i06_10xAcrit_s42,12,6,10xAcrit,42,66,0.16501224762760103,0.10211200570642559,0.11861189513001591,0.0445026072079661,0.9848484848484849
N12_i06_10xAcrit_s43,12,6,10xAcrit,43,66,0.011575129174161702,0.01049196606364302,0.22187229013070464,0.0032421558652902032,0.9848484848484849
N12_i06_10xAcrit_s44,12,6,10xAcrit,44,66,0.5144235021434724,0.010123482944514867,0.1206414292100817,0.011630230007631633,0.9848484848484849
N12_i06_10xAcrit_s45,12,6,10xAcrit,45,66,0.11932232393883169,0.056526494285314186,0.07323580840602517,0.039525473413985636,0.9848484848484849
N12_i06_10xAcrit_s46,12,6,10xAcrit,46,66,0.3238088530488312,0.02590263911660014,0.012295467531657778,0.05750411571258187,0.9848484848484849
N12_i06_2xAcrit_s42,12,6,2xAcrit,42,66,0.2639517664028972,0.40055260606990417,0.2264769829926081,0.4298196375770429,0.9848484848484849
N12_i06_2xAcrit_s43,12,6,2xAcrit,43,66,0.015126063706702553,0.035643113742770974,0.1911462633870542,0.021848961376360138,0.9848484848484849
N12_i06_2xAcrit_s44,12,6,2xAcrit,44,66,0.37992918910458684,0.06561996378171141,0.12310680793598294,0.043306082196714876,0.9848484848484849
N12_i06_2xAcrit_s45,12,6,2xAcrit,45,66,0.07141506870902958,0.3225745528686543,0.15374212758615613,0.12286578024329055,0.9848484848484849
N12_i06_2xAcrit_s46,12,6,2xAcrit,46,66,0.3235486503690481,0.15496407975076085,0.06704821140738204,0.19507029224746955,0.9848484848484849
N12_i06_5xAcrit_s42,12,6,5xAcrit,42,66,0.17017289326759055,0.23332672372757263,0.10470320575404912,0.1597358143664769,0.9848484848484849
N12_i06_5xAcrit_s43,12,6,5xAcrit,43,66,0.015470107726287097,0.015251078992272763,0.21746765985153615,0.007226975894231336,0.9848484848484849
N12_i06_5xAcrit_s44,12,6,5xAcrit,44,66,0.4869305179454386,0.023299510657180212,0.12183225597254932,0.021331715392463386,0.9848484848484849
N12_i06_5xAcrit_s45,12,6,5xAcrit,45,66,0.0633741034544073,0.13714120764050186,0.10599875298794359,0.08492123539616361,0.9848484848484849
N12_i06_5xAcrit_s46,12,6,5xAcrit,46,66,0.2538542931433767,0.03593610306230236,0.017894953198265284,0.15540809747075957,0.9848484848484849
N12_i06_Aheur_s42,12,6,Aheur,42,66,0.18025389779359102,0.010046606272416481,0.11559866461902857,0.008168225789539268,0.9848484848484849
N12_i06_Aheur_s43,12,6,Aheur,43,66,0.009928341576596722,0.002415142947119215,0.2222510357387364,0.0005746304933953407,0.9848484848484849
N12_i06_Aheur_s44,12,6,Aheur,44,66,0.5044037927873433,0.0017366081199028365,0.11917800060473382,0.002381599176715022,0.9848484848484849
N12_i06_Aheur_s45,12,6,Aheur,45,66,0.1298160597216338,0.022613233753591484,0.06755396141670644,0.00232212975812831,0.9848484848484849
N12_i06_Aheur_s46,12,6,Aheur,46,66,0.31747301714494824,0.002814561351915536,0.011530984527780674,0.00994891801060948,0.9848484848484849
N12_i06_Amargin_s42,12,6,Amargin,42,66,0.2493035330553539,0.4249947847779723,0.2267156978487037,0.4492284001396382,0.9848484848484849
N12_i06_Amargin_s43,12,6,Amargin,43,66,0.01679019747825805,0.03634534563523495,0.18537307740189135,0.024525052032386654,0.9848484848484849
N12_i06_Amargin_s44,12,6,Amargin,44,66,0.37032553064636886,0.07190125375634987,0.1231347534339875,0.046597328406944465,0.9848484848484849
N12_i06_Amargin_s45,12,6,Amargin,45,66,0.05731688000491886,0.43446744334824805,0.14980732830008492,0.12811828195752178,0.9848484848484849
N12_i06_Amargin_s46,12,6,Amargin,46,66,0.27387566352263093,0.14093409437428697,0.0770318404538557,0.19003167992125305,0.9848484848484849
N12_i07_A0_s42,12,7,A0,42,66,0.04539340947086146,0.6030574809527136,0.13621400401916617,0.6512395893525442,0.9848484848484849
N12_i07_A0_s43,12,7,A0,43,66,0.08079374110388926,0.5558147850797012,0.005800406568596372,0.4571237777818721,0.9848484848484849
N12_i07_A0_s44,12,7,A0,44,66,0.19558342824711872,0.5736012021787685,0.11543344211531803,0.1967178763235309,0.9848484848484849
N12_i07_A0_s45,12,7,A0,45,66,0.12000275922284942,0.4579322869829077,0.09009491363747202,0.5707929990178074,0.9848484848484849
N12_i07_A0_s46,12,7,A0,46,66,0.14512166416170658,0.5173715060946562,0.06112941005267203,0.4532101426707479,0.9848484848484849
N12_i07_Aheur_s42,12,7,Aheur,42,66,0.181516254786402,0.012256933207170737,0.1142601037863642,0.007154996571927284,0.9848484848484849
N12_i07_Aheur_s43,12,7,Aheur,43,66,0.009922361874487251,0.00222923392277826,0.22209311975166202,0.0005451960374570223,0.9848484848484849
N12_i07_Aheur_s44,12,7,Aheur,44,66,0.5030938582494855,0.0021458830666847345,0.11906583688687533,0.0027287882794372106,0.9848484848484849
N12_i07_Aheur_s45,12,7,Aheur,45,66,0.13803850731346756,0.02887847691637004,0.06803786603268236,0.00233710160439286,0.9848484848484849
N12_i07_Aheur_s46,12,7,Aheur,46,66,0.30149459885433316,0.0019137747315128243,0.01158774115901906,0.011249430409192017,0.9848484848484849
N12_i07_Amargin_s42,12,7,Amargin,42,66,0.423789381980896,0.06949922073489877,0.24427091357210884,0.5024908358824665,0.9848484848484849
N12_i07_Amargin_s43,12,7,Amargin,43,66,0.02331583306659013,0.061417518707386654,0.141648318618536,0.09421488612090026,0.9848484848484849
N12_i07_Amargin_s44,12,7,Amargin,44,66,0.36897135502658784,0.15812801398560364,0.12355579389259219,0.08131534504252044,0.9848484848484849
N12_i07_Amargin_s45,12,7,Amargin,45,66,0.09158333260074869,0.4194286260299061,0.1389439216873143,0.25569007503324287,0.9848484848484849
N12_i07_Amargin_s46,12,7,Amargin,46,66,0.38041386182885617,0.3920525830218398,0.11614422523416579,0.22590093884688253,0.9848484848484849
N12_i08_1.1xAcrit_s42,12,8,1.1xAcrit,42,66,0.32937682582996786,0.10290872538197438,0.22511014846440958,0.5500965655704566,0.9848484848484849
N12_i08_1.1xAcrit_s43,12,8,1.1xAcrit,43,66,0.0253301729389932,0.08232060468716909,0.14474512019660324,0.0859335750330938,0.9848484848484849
N12_i08_1.1xAcrit_s44,12,8,1.1xAcrit,44,66,0.3489735451294109,0.15943410311635756,0.12411556951701641,0.09893406782816977,0.9848484848484849
N12_i08_1.1xAcrit_s45,12,8,1.1xAcrit,45,66,0.06922813048663556,0.5124140116893595,0.1329506230795232,0.2294371383347551,0.9848484848484849
N12_i08_1.1xAcrit_s46,12,8,1.1xAcrit,46,66,0.3782444885582663,0.372599525019772,0.12130371446255594,0.2087999821769177,0.9848484848484849
N12_i08_10xAcrit_s42,12,8,10xAcrit,42,66,0.1641571392538026,0.1589157615833079,0.11996991321211681,0.08296302573877722,0.9848484848484849
N12_i08_10xAcrit_s43,12,8,10xAcrit,43,66,0.011656416580080986,0.02197097038701108,0.2224931672681123,0.005451526495407347,0.9848484848484849
N12_i08_10xAcrit_s44,12,8,10xAcrit,44,66,0.5139620588161051,0.017150446889757608,0.12071595364250243,0.01992519025787052,0.9848484848484849
N12_i08_10xAcrit_s45,12,8,10xAcrit,45,66,0.11872570612467825,0.10674122824714574,0.07468335685553029,0.06013581670737064,0.9848484848484849
N12_i08_10xAcrit_s46,12,8,10xAcrit,46,66,0.3193818824365735,0.023694806042501043,0.01436338787607383,0.10685698072058249,0.9848484848484849
N12_i08_2xAcrit_s42,12,8,2xAcrit,42,66,0.23479900210941196,0.42788529816001974,0.21169292099875747,0.440166343610733,0.9848484848484849
