sweep,n_assets,qaoa_seed,p_layers,step,expectation
seeds,20,44,2,48,-6.276450157165527
seeds,20,44,2,49,-6.281336784362793
seeds,20,45,2,0,2.728564977645874
seeds,20,45,2,1,1.4181547164916992
seeds,20,45,2,2,1.517922282218933
seeds,20,45,2,3,1.4564076662063599
seeds,20,45,2,4,1.3278250694274902
seeds,20,45,2,5,1.046029806137085
seeds,20,45,2,6,0.6394383907318115
seeds,20,45,2,7,0.2618311941623688
seeds,20,45,2,8,0.09586426615715027
seeds,20,45,2,9,-0.33721643686294556
seeds,20,45,2,10,-0.5430906414985657
seeds,20,45,2,11,-0.5953470468521118
seeds,20,45,2,12,-0.8469656109809875
seeds,20,45,2,13,-1.1311908960342407
seeds,20,45,2,14,-1.078819990158081
seeds,20,45,2,15,-0.8676673769950867
seeds,20,45,2,16,-0.9503792524337769
seeds,20,45,2,17,-1.0913608074188232
seeds,20,45,2,18,-1.0656062364578247
seeds,20,45,2,19,-1.0511270761489868
seeds,20,45,2,20,-1.2103796005249023
seeds,20,45,2,21,-1.4265073537826538
seeds,20,45,2,22,-1.5195170640945435
seeds,20,45,2,23,-1.4525290727615356
seeds,20,45,2,24,-1.4167778491973877
seeds,20,45,2,25,-1.502584457397461
seeds,20,45,2,26,-1.564799189567566
seeds,20,45,2,27,-1.6828176975250244
seeds,20,45,2,28,-2.192934274673462
seeds,20,45,2,29,-3.103395938873291
seeds,20,45,2,30,-3.246579170227051
seeds,20,45,2,31,-2.417229652404785
seeds,20,45,2,32,-2.7131896018981934
seeds,20,45,2,33,-3.4809160232543945
seeds,20,45,2,34,-3.5372068881988525
seeds,20,45,2,35,-3.3560948371887207
seeds,20,45,2,36,-3.5925188064575195
seeds,20,45,2,37,-3.9341135025024414
seeds,20,45,2,38,-4.0158305168151855
seeds,20,45,2,39,-4.158589839935303
seeds,20,45,2,40,-4.475115776062012
seeds,20,45,2,41,-4.555245399475098
seeds,20,45,2,42,-4.453754901885986
seeds,20,45,2,43,-4.3818182945251465
seeds,20,45,2,44,-4.40321159362793
seeds,20,45,2,45,-4.4773359298706055
seeds,20,45,2,46,-4.506291389465332
seeds,20,45,2,47,-4.45643949508667
seeds,20,45,2,48,-4.391196250915527
seeds,20,45,2,49,-4.384546279907227
seeds,20,46,2,0,4.549570560455322
seeds,20,46,2,1,1.5437233448028564
seeds,20,46,2,2,0.5329485535621643
seeds,20,46,2,3,0.6688727140426636
seeds,20,46,2,4,0.07355015724897385
seeds,20,46,2,5,-0.15718922019004822
seeds,20,46,2,6,0.10494022071361542
seeds,20,46,2,7,0.2112283855676651
seeds,20,46,2,8,-0.036145180463790894
seeds,20,46,2,9,-0.49963510036468506
seeds,20,46,2,10,-0.9171102046966553
seeds,20,46,2,11,-1.0744074583053589
seeds,20,46,2,12,-1.0387710332870483
seeds,20,46,2,13,-1.0857840776443481
seeds,20,46,2,14,-1.313414216041565
seeds,20,46,2,15,-1.566847562789917
seeds,20,46,2,16,-1.6882396936416626
seeds,20,46,2,17,-1.691387414932251
seeds,20,46,2,18,-1.6980077028274536
seeds,20,46,2,19,-1.7926926612854004
seeds,20,46,2,20,-1.9729950428009033
seeds,20,46,2,21,-2.1895666122436523
seeds,20,46,2,22,-2.403655767440796
seeds,20,46,2,23,-2.6142098903656006
seeds,20,46,2,24,-2.844926357269287
seeds,20,46,2,25,-3.1194217205047607
seeds,20,46,2,26,-3.458590269088745
seeds,20,46,2,27,-3.890824317932129
seeds,20,46,2,28,-4.42395544052124
seeds,20,46,2,29,-4.9936699867248535
seeds,20,46,2,30,-5.525592803955078
seeds,20,46,2,31,-6.009986877441406
seeds,20,46,2,32,-6.328701972961426
seeds,20,46,2,33,-6.411485195159912
seeds,20,46,2,34,-6.369634628295898
seeds,20,46,2,35,-6.322042942047119
seeds,20,46,2,36,-6.324282169342041
seeds,20,46,2,37,-6.352170467376709
seeds,20,46,2,38,-6.422337532043457
seeds,20,46,2,39,-6.3408732414245605
seeds,20,46,2,40,-6.176985740661621
seeds,20,46,2,41,-6.174895763397217
seeds,20,46,2,42,-6.240612983703613
seeds,20,46,2,43,-6.332432746887207
seeds,20,46,2,44,-6.308579444885254
seeds,20,46,2,45,-6.309194087982178
seeds,20,46,2,46,-6.327237129211426
seeds,20,46,2,47,-6.353085994720459
seeds,20,46,2,48,-6.373740196228027
seeds,20,46,2,49,-6.367396354675293
