n_assets,penalty_label,shots,runs,Q_tau_final_median,Q_opt_final_median,Q_tau_initial_median,Q_opt_initial_median,Q_tau_uniform_all_median,Q_tau_uniform_F_median,Q_opt_uniform_all_median,Q_opt_uniform_F_median,final_beats_uniform_F_rate,final_beats_uniform_F_runs_opt,final_beats_uniform_F_runs_alt
16,10xAcrit,10,150,0.006671917210453349,0.006391547665419162,0.0019279608357119504,0.0018528970485720553,0.0001525774136723498,0.017714329137449757,0.0001525774136723498,0.017714329137449757,0.006666666666666667,1,1
16,10xAcrit,100,150,0.06475045717830552,0.06210810333774586,0.019113198932090736,0.018375227145622453,0.0015247269688252072,0.16366920587598202,0.0015247269688252072,0.16366920587598202,0.006666666666666667,1,1
16,10xAcrit,1000,150,0.48795074635751656,0.4733417014004475,0.1755033287590353,0.1692784093661771,0.015143078261349174,0.8325901989735831,0.015143078261349174,0.8325901989735831,0.006666666666666667,1,1
16,10xAcrit,10000,150,0.9987503914393197,0.9983579026814042,0.8548259235979407,0.843470998470617,0.1415175614212521,0.9999999827094502,0.1415175614212521,0.9999999827094502,0.0,1,1
16,Amargin,10,150,0.007659006321334261,0.0074467343230971705,0.003760209021010097,0.0027431213384096487,0.0001525774136723498,0.017714329137449757,0.0001525774136723498,0.017714329137449757,0.07333333333333333,13,11
16,Amargin,100,150,0.07400353675060795,0.0720208331921236,0.03697216124885988,0.02709499631427953,0.0015247269688252072,0.16366920587598202,0.0015247269688252072,0.16366920587598202,0.07333333333333333,13,11
16,Amargin,1000,150,0.5364531749858372,0.5264320582963639,0.31389811192183364,0.24018564427502198,0.015143078261349174,0.8325901989735831,0.015143078261349174,0.8325901989735831,0.07333333333333333,13,11
16,Amargin,10000,150,0.9995418905552658,0.9994326826505153,0.9768843608797904,0.9358218285651259,0.1415175614212521,0.9999999827094502,0.1415175614212521,0.9999999827094502,0.06666666666666667,13,11
16,Aheur,10,150,0.004085670937853836,0.004074148422810786,0.0006350052068999079,0.0006280069870588934,0.0001525774136723498,0.017714329137449757,0.0001525774136723498,0.017714329137449757,0.0,0,0
16,Aheur,100,150,0.040113663432708,0.040002600831532564,0.0063319373379148725,0.006262351884275041,0.0015247269688252072,0.16366920587598202,0.0015247269688252072,0.16366920587598202,0.0,0,0
16,Aheur,1000,150,0.33595410200866915,0.33518537271048393,0.06154529819551674,0.06088790184803,0.015143078261349174,0.8325901989735831,0.015143078261349174,0.8325901989735831,0.0,0,0
16,Aheur,10000,150,0.983328256296797,0.9831342429412417,0.47017414301564847,0.46645094340739873,0.1415175614212521,0.9999999827094502,0.1415175614212521,0.9999999827094502,0.0,0,0
20,1.1xAcrit,10,150,0.0025346943952881396,0.0015233128585963596,0.0008738572350774909,0.00048294413994337537,1.9073322619911345e-05,0.0041203073609808625,9.536702236905002e-06,0.002062067530338662,0.41333333333333333,56,62
20,1.1xAcrit,100,150,0.025059718332994918,0.015129108291501547,0.008704288888364775,0.004818958679003282,0.00019071685640812213,0.0404474454306457,9.536292978210036e-05,0.020430378183014807,0.41333333333333333,56,62
