n_assets,backend,p_layers,step,expectation
30,lightning_gpu,2,35,-9.139450073242188
30,lightning_gpu,2,36,-9.13237476348877
30,lightning_gpu,2,37,-9.151847839355469
30,lightning_gpu,2,38,-9.194859504699707
30,lightning_gpu,2,39,-9.243185043334961
30,lightning_gpu,2,40,-9.280917167663574
30,lightning_gpu,2,41,-9.306126594543457
30,lightning_gpu,2,42,-9.328567504882812
30,lightning_gpu,2,43,-9.353414535522461
30,lightning_gpu,2,44,-9.373847007751465
30,lightning_gpu,2,45,-9.384522438049316
30,lightning_gpu,2,46,-9.39289379119873
30,lightning_gpu,2,47,-9.406691551208496
30,lightning_gpu,2,48,-9.420300483703613
30,lightning_gpu,2,49,-9.424795150756836
