n_assets,instance,penalty_label,penalty,n_select,delta_F,max_abs_Q,max_abs_Q_objective,max_abs_Q_penalty,qubo_ratio_objective_over_max,s_H,s_H_objective_only,s_H_penalty_only,ising_ratio_objective_over_s_H,epsilon_F,delta_F_over_A
12,27,Amargin,0.26112691791997783,2,0.7002182592257978,1.0504857074780451,0.5282318716380896,0.7833807537599335,0.5028453675074199,1.8919464007832296,0.8474387291033183,1.0445076716799113,0.4479189942973516,0.370104702192367,2.6815246195353146
12,27,1.1xAcrit,0.12166078906651528,2,0.7002182592257978,0.7715534497711202,0.5282318716380896,0.3649823671995459,0.684634190664028,1.3340818853693797,0.8474387291033183,0.48664315626606125,0.635222424048341,0.5248690255860283,5.755496611508654
12,28,Aheur,12.99999999998611,2,0.41242683596852336,39.135867771243866,0.2892728930277218,38.999999999958334,0.007391503229686218,52.42952605601134,0.4295260560668981,51.99999999994445,0.008192445905538574,0.00786630868125569,0.031725141228381847
12,28,Amargin,0.17091731362533638,2,0.41242683596852336,0.6486197121615387,0.2892728930277218,0.5127519408760093,0.44598227220648884,1.1131953105682435,0.4295260560668981,0.6836692545013455,0.3858496815331009,0.3704891963279968,2.4130196480421757
12,28,1.1xAcrit,0.0855551016669137,2,0.41242683596852336,0.46038309636154917,0.2892728930277218,0.2566653050007411,0.6283308299411352,0.7717464627345528,0.4295260560668981,0.34222040666765485,0.5565636861423962,0.5344071607496051,4.820598981627056
12,29,Aheur,12.999999999974966,2,1.43851850240498,39.214697951540074,0.5678377598483115,38.999999999924896,0.014480227810246615,53.042099593222886,1.0420995933230297,51.999999999899856,0.01964665051562509,0.027120316002513172,0.11065526941598078
12,29,Amargin,0.36239383644671674,2,1.43851850240498,1.3018794609553317,0.5678377598483115,1.0871815093401502,0.4361676920777494,2.491674939109897,1.0420995933230297,1.449575345786867,0.4182325619469848,0.5773299236692822,3.9694894276064416
12,29,1.1xAcrit,0.04679128753739516,2,1.43851850240498,0.6614203349231018,0.5678377598483115,0.14037386261218548,0.8585127034449729,1.2292647434726103,1.0420995933230297,0.18716515014958063,0.8477421961839982,1.1702267636353407,30.74329812479149
16,0,Aheur,16.999999999972275,3,1.2705106296258624,85.26332831909434,0.46127650039295737,84.99999999986137,0.0054100222157250286,85.75412863060436,0.7541286307429914,84.99999999986136,0.008794079571276226,0.014815737153586285,0.0747359193898785
16,0,Amargin,0.31113031231330396,3,1.2705106296258624,1.8189798807994837,0.46127650039295737,1.5556515615665198,0.2535907654955566,2.3097801923095114,0.7541286307429914,1.55565156156652,0.3264936781663845,0.5500569421523611,4.083532138605883
16,0,1.1xAcrit,0.04852299130632842,3,1.2705106296258624,0.5583224830056142,0.46127650039295737,0.24261495653164217,0.8261829219374621,0.9967435872746334,0.7541286307429914,0.2426149565316421,0.7565924078879535,1.274661453403259,26.183683145275527
16,1,Aheur,16.999999999977796,3,1.2939192012170153,85.0805257752357,0.40331206040579953,84.99999999988898,0.004740356935161197,85.93887363468885,0.9388736347998632,84.999999999889,0.01092490039828601,0.015056273680258365,0.0761128941893356
16,1,Amargin,0.47365326741735486,3,1.2939192012170153,2.44879211243349,0.40331206040579953,2.3682663370867743,0.1646983663325376,3.307139971886637,0.9388736347998632,2.3682663370867747,0.2838929234266006,0.3912502077977873,2.7317856546672807
16,1,1.1xAcrit,0.18699000047858796,3,1.2939192012170153,1.0154757777396555,0.40331206040579953,0.9349500023929398,0.3971656136432231,1.8738236371928028,0.9388736347998632,0.93495000239294,0.5010469588303416,0.6905234705841639,6.919724038212304
16,2,Aheur,16.999999999972275,3,0.9002704346258038,85.26332831909434,0.3476624901180723,84.99999999986137,0.004077514882095154,85.5948553399006,0.5948553400392342,84.99999999986136,0.006949662309458201,0.010517810107287334,0.05295708438983953
16,2,Amargin,0.3395442826208949,3,0.9002704346258038,1.9610497323374385,0.3476624901180723,1.6977214131044747,0.17728387219618452,2.292576753143709,0.5948553400392342,1.6977214131044747,0.25947019624251855,0.3926893323816979,2.651408021589237
16,2,1.1xAcrit,0.13995950254637457,3,0.9002704346258038,0.9631258319648367,0.3476624901180723,0.699797512731873,0.36097307182470556,1.2946528527711068,0.5948553400392342,0.6997975127318727,0.45947092208231055,0.695375932396737,6.432363778425875
16,3,Aheur,16.999999999981483,3,1.7607173941878844,85.13940102905336,0.5376305660860391,84.99999999990742,0.006314709283690821,85.81868349196083,0.8186834920534076,84.9999999999074,0.009539688314259666,0.020516714106349837,0.10357161142292955
