n_assets,n_select,feasible_set_size,band_kind,band_pct,n_within,frac_within,sharpe_optimum,sharpe_min,sharpe_p25,sharpe_median,sharpe_p75,sharpe_max,sharpe_spread_pct
12,2,66,reported_gap,1.0,54,0.8181818181818182,1.3218756853432454,0.029981830824332346,0.5471997226031114,0.6856398731035467,0.941571711250762,1.337964475552203,98.9489903801531
12,2,66,objective_range,1.0,1,0.015151515151515152,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,0.0
12,2,66,objective_range,5.0,1,0.015151515151515152,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,1.3218756853432454,0.0
12,2,66,objective_range,10.0,2,0.030303030303030304,1.3218756853432454,1.1763543666609393,1.2127346963315158,1.2491150260020922,1.285495355672669,1.3218756853432454,11.008699251814988
16,3,560,reported_gap,0.01,3,0.005357142857142857,1.3851408274006345,1.3767808907629735,1.3809608590818039,1.3851408274006345,1.4479061116334937,1.5106713958663527,9.66620162042578
16,3,560,reported_gap,0.05,11,0.019642857142857142,1.3851408274006345,1.2268098002868673,1.3302141324744703,1.4547087673515529,1.469849013859621,1.5106713958663527,20.493338291975856
16,3,560,reported_gap,0.1,30,0.05357142857142857,1.3851408274006345,1.1488135639294699,1.2382599186266534,1.3467513975124128,1.410797490445277,1.5106713958663527,26.124262947035348
16,3,560,reported_gap,0.2,101,0.18035714285714285,1.3851408274006345,0.7156979525285636,1.0582132605077594,1.197342088628886,1.3120216431519784,1.5106713958663527,57.392968831165135
16,3,560,reported_gap,0.5,452,0.8071428571428572,1.3851408274006345,0.2627697644061146,0.8241038468520249,0.995860658357596,1.1722963369921893,1.5106713958663527,90.09204022973314
16,3,560,reported_gap,1.0,560,1.0,1.3851408274006345,0.20145055180680912,0.7574236724403818,0.9561529207261104,1.1376423174041874,1.5106713958663527,94.51897006865629
16,3,560,objective_range,1.0,3,0.005357142857142857,1.3851408274006345,1.3767808907629735,1.3809608590818039,1.3851408274006345,1.4479061116334937,1.5106713958663527,9.66620162042578
16,3,560,objective_range,5.0,7,0.0125,1.3851408274006345,1.3767808907629735,1.4199247973760936,1.4578597337788783,1.4864727935592241,1.5106713958663527,9.66620162042578
16,3,560,objective_range,10.0,21,0.0375,1.3851408274006345,1.1488135639294699,1.2501689550565789,1.3851408274006345,1.4577015575052377,1.5106713958663527,26.124262947035348
20,4,4845,reported_gap,0.01,7,0.0014447884416924665,1.4732051545372367,1.2035613075431264,1.4344883605804037,1.4638129909258695,1.4656983595333062,1.4732051545372367,18.303210938656456
20,4,4845,reported_gap,0.05,73,0.015067079463364294,1.4732051545372367,1.0493862626862653,1.2035613075431264,1.3060336108765715,1.3720641006120384,1.539044658265469,33.23762437778161
20,4,4845,reported_gap,0.1,368,0.07595459236326109,1.4732051545372367,0.6342504955361136,1.0786836505975683,1.193352839989602,1.314377526905315,1.539044658265469,61.41671171477604
20,4,4845,reported_gap,0.2,2058,0.4247678018575851,1.4732051545372367,0.10469043283947595,0.8498820653501958,1.0154496798956023,1.164831901462094,1.539044658265469,97.36282967843353
20,4,4845,reported_gap,0.5,4836,0.9981424148606811,1.4732051545372367,-0.09368478089806719,0.7066165929971996,0.9118537305994164,1.0899614003222784,1.539044658265469,110.8283821934094
