n_assets,n_select,feasible_set_size,solution,rank,rank_ties,solution_index,f,f_star,delta_F,penalty_label,penalty,threshold,threshold_kind,threshold_binding_m,a_margin,a_margin_target,a_heur,E_A,E_A_star,abs_E_star,g_off,g_F,deflation_D,c_max_all_states,c_max_cardinality,c_max_proven,r_all,r_all_of_worst_feasible
28,5,98280,rank_10,10,1,134250566,-0.12404239779148485,-0.16760980693372507,3.0234638504618934,1.1xAcrit,0.18224288567336852,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-4.6801145396256985,-4.723681948767938,4.723681948767938,0.009223188524283216,0.014409766842618094,1.5623411366556617,133.26101667688812,28,False,0.9996842591274527,0.97808841211688
28,5,98280,rank_50,50,1,152174594,-0.04028262754479295,-0.16760980693372507,3.0234638504618934,1.1xAcrit,0.18224288567336852,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-4.5963547693790066,-4.723681948767938,4.723681948767938,0.026955070381515088,0.042113015298489646,1.5623411366556617,133.26101667688812,28,False,0.9990772369642641,0.97808841211688
28,5,98280,rank_100,100,1,135299078,0.00011618145737801733,-0.16760980693372507,3.0234638504618934,1.1xAcrit,0.18224288567336852,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-4.555955960376835,-4.723681948767938,4.723681948767938,0.03550746858281822,0.05547477882544541,1.5623411366556617,133.26101667688812,28,False,0.9987844595084695,0.97808841211688
28,5,98280,rank_1000,1000,1,168820804,0.186667295730506,-0.16760980693372507,3.0234638504618934,1.1xAcrit,0.18224288567336852,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-4.369404846103707,-4.723681948767938,4.723681948767938,0.07500020249175243,0.11717590161036928,1.5623411366556617,133.26101667688812,28,False,0.9974324899340807,0.97808841211688
28,5,98280,median,49141,1,4587778,0.9402299192815979,-0.16760980693372507,3.0234638504618934,1.1xAcrit,0.18224288567336852,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-3.6158422225526152,-4.723681948767938,4.723681948767938,0.23452885656373987,0.366414080342346,1.5623411366556617,133.26101667688812,28,False,0.991971285676966,0.97808841211688
28,5,98280,worst_feasible,98280,1,33591553,2.8558540435281685,-0.16760980693372507,3.0234638504618934,1.1xAcrit,0.18224288567336852,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-1.7002180983060446,-4.723681948767938,4.723681948767938,0.6400650770423892,1.0,1.5623411366556617,133.26101667688812,28,False,0.97808841211688,0.97808841211688
28,5,98280,published_qaoa,111,1,218136578,0.005815856190140245,-0.16760980693372507,3.0234638504618934,1.1xAcrit,0.18224288567336852,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-4.550256285644073,-4.723681948767938,4.723681948767938,0.0367140855385277,0.057359926131536565,1.5623411366556617,133.26101667688812,28,False,0.9987431529375996,0.97808841211688
28,5,98280,optimum,1,1,151027778,-0.16760980693372507,-0.16760980693372507,3.0234638504618934,2xAcrit,0.3313507012243064,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-8.451377337541386,-8.451377337541386,8.451377337541386,0.0,0.0,2.7952632330134435,208.4113557145608,28,False,1.0,0.9860581677270687
28,5,98280,rank_2,2,1,150995014,-0.15414552092554457,-0.16760980693372507,3.0234638504618934,2xAcrit,0.3313507012243064,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-8.437913051533204,-8.451377337541386,8.451377337541386,0.0015931469475835092,0.0044532650873677785,2.7952632330134435,208.4113557145608,28,False,0.9999379133250851,0.9860581677270687
28,5,98280,rank_5,5,1,151027842,-0.13490500173717712,-0.16760980693372507,3.0234638504618934,2xAcrit,0.3313507012243064,0.1656753506121532,A_safe (bounded outside K±2; upper bound on A_crit),4,nan,nan,28.999999999951484,-8.418672532344837,-8.451377337541386,8.451377337541386,0.0038697603822836994,0.010816998917169671,2.7952632330134435,208.4113557145608,28,False,0.9998491912154004,0.9860581677270687
