sweep,n_assets,qaoa_seed,p_layers,step,expectation
seeds,20,44,2,26,-6.065863948715781
seeds,20,44,2,27,-6.0795726899679705
seeds,20,44,2,28,-6.09147898977481
seeds,20,44,2,29,-6.096872635256845
seeds,20,44,2,30,-6.100450332625723
seeds,20,44,2,31,-6.110133594492153
seeds,20,44,2,32,-6.127419377061088
seeds,20,44,2,33,-6.145794936944231
seeds,20,44,2,34,-6.158814007906045
seeds,20,44,2,35,-6.166874143056082
seeds,20,44,2,36,-6.172059873147557
seeds,20,44,2,37,-6.174550187343427
seeds,20,44,2,38,-6.180292376940051
seeds,20,44,2,39,-6.1963982669140725
seeds,20,44,2,40,-6.217617531128359
seeds,20,44,2,41,-6.2319127344395655
seeds,20,44,2,42,-6.235818647214256
seeds,20,44,2,43,-6.23706475669764
seeds,20,44,2,44,-6.243917071744216
seeds,20,44,2,45,-6.256971958794289
seeds,20,44,2,46,-6.270115754543369
seeds,20,44,2,47,-6.276139785781392
seeds,20,44,2,48,-6.2764885702322735
seeds,20,44,2,49,-6.281358123760074
seeds,20,45,2,0,2.7285694861988645
seeds,20,45,2,1,1.4181562821601637
seeds,20,45,2,2,1.5179262172972616
seeds,20,45,2,3,1.456412723308458
seeds,20,45,2,4,1.3278258641990974
seeds,20,45,2,5,1.0460302573939433
seeds,20,45,2,6,0.6394387983676917
seeds,20,45,2,7,0.2618321513646318
seeds,20,45,2,8,0.09586761020870035
seeds,20,45,2,9,-0.33721782389162996
seeds,20,45,2,10,-0.5430931598824149
seeds,20,45,2,11,-0.5953535377120079
seeds,20,45,2,12,-0.8469704161244033
seeds,20,45,2,13,-1.1311901752549944
seeds,20,45,2,14,-1.0788220244505344
seeds,20,45,2,15,-0.8676707636856155
seeds,20,45,2,16,-0.9503821727819628
seeds,20,45,2,17,-1.0913627311535332
seeds,20,45,2,18,-1.0656062230647787
seeds,20,45,2,19,-1.0511304599232003
seeds,20,45,2,20,-1.2103825281440999
seeds,20,45,2,21,-1.4265097171899699
seeds,20,45,2,22,-1.519521867528123
seeds,20,45,2,23,-1.4525349231917182
seeds,20,45,2,24,-1.416778140915465
seeds,20,45,2,25,-1.5025914708116845
seeds,20,45,2,26,-1.5648020938719487
seeds,20,45,2,27,-1.6828174573650498
seeds,20,45,2,28,-2.1929281006220895
seeds,20,45,2,29,-3.103394217336004
seeds,20,45,2,30,-3.2465960861151846
seeds,20,45,2,31,-2.4172441583848507
seeds,20,45,2,32,-2.7131909283165077
seeds,20,45,2,33,-3.4809173153221136
seeds,20,45,2,34,-3.5372186927083855
seeds,20,45,2,35,-3.3560994448375476
seeds,20,45,2,36,-3.5925243310088475
seeds,20,45,2,37,-3.934126054827697
seeds,20,45,2,38,-4.015853883666695
seeds,20,45,2,39,-4.158593082365877
seeds,20,45,2,40,-4.4751303708260455
seeds,20,45,2,41,-4.55525237513889
seeds,20,45,2,42,-4.453776867559862
seeds,20,45,2,43,-4.38183073912448
seeds,20,45,2,44,-4.403230132792686
seeds,20,45,2,45,-4.477348211028027
seeds,20,45,2,46,-4.506304303388252
seeds,20,45,2,47,-4.456451946106201
seeds,20,45,2,48,-4.391204146415234
seeds,20,45,2,49,-4.384559932146519
seeds,20,46,2,0,4.549585278754998
seeds,20,46,2,1,1.5437267106660169
seeds,20,46,2,2,0.5329490227186178
seeds,20,46,2,3,0.6688770732229928
seeds,20,46,2,4,0.07355023991872968
seeds,20,46,2,5,-0.15718895657462284
seeds,20,46,2,6,0.10494265678239516
seeds,20,46,2,7,0.21122932010287346
seeds,20,46,2,8,-0.03614161347168038
seeds,20,46,2,9,-0.4996365553560368
seeds,20,46,2,10,-0.9171117294504727
seeds,20,46,2,11,-1.0744079753285503
seeds,20,46,2,12,-1.0387730791566672
seeds,20,46,2,13,-1.0857872080851056
seeds,20,46,2,14,-1.3134187566312696
seeds,20,46,2,15,-1.56685051031168
seeds,20,46,2,16,-1.688244045848666
seeds,20,46,2,17,-1.6913907320527373
seeds,20,46,2,18,-1.6980120527041878
seeds,20,46,2,19,-1.792698996943916
seeds,20,46,2,20,-1.9729954564141756
seeds,20,46,2,21,-2.189571825026164
seeds,20,46,2,22,-2.403666514135568
seeds,20,46,2,23,-2.614208894126231
seeds,20,46,2,24,-2.844933131047717
seeds,20,46,2,25,-3.1194292452941137
seeds,20,46,2,26,-3.458589878350444
seeds,20,46,2,27,-3.8908285605352932
seeds,20,46,2,28,-4.423960615633395
seeds,20,46,2,29,-4.993681200315006
seeds,20,46,2,30,-5.525606721919803
seeds,20,46,2,31,-6.01000617677362
seeds,20,46,2,32,-6.32871719689331
seeds,20,46,2,33,-6.411507595404454
seeds,20,46,2,34,-6.369650786787758
seeds,20,46,2,35,-6.322051618357079
seeds,20,46,2,36,-6.324303452794445
seeds,20,46,2,37,-6.3521864000368895
seeds,20,46,2,38,-6.422354889300285
seeds,20,46,2,39,-6.340901124857017
seeds,20,46,2,40,-6.1770005147329465
seeds,20,46,2,41,-6.174906832702409
seeds,20,46,2,42,-6.240618334718173
seeds,20,46,2,43,-6.332450122891724
seeds,20,46,2,44,-6.30860222229978
seeds,20,46,2,45,-6.309218359976516
seeds,20,46,2,46,-6.327263847427257
seeds,20,46,2,47,-6.353100857332807
seeds,20,46,2,48,-6.373771000851092
seeds,20,46,2,49,-6.3674303413402
