n_assets,treatment,control,penalty_label,field,pairs,pairs_dropped,instances,instance_median_diff,ci95_low,ci95_high,instances_treatment_better,instances_worse,instances_tied,instance_median_abs_diff,instance_iqr_diff,instance_p95_abs_diff,instance_max_abs_diff,direction
20,adam_0.03,adam_0.1,Aheur,g_F,50,0,10,0.010054135717661799,-0.005938470068416388,0.034903348404600604,5,5,0,0.020261758856554526,0.03725752618055863,0.05285543390198432,0.061681013569081344,worse
20,adam_0.03,adam_0.1,Aheur,rank_best_feasible,50,0,10,1.5,-12.0,29.0,5,5,0,15.5,34.0,54.49999999999997,68.0,worse
20,adam_0.03,adam_0.1,Aheur,objective_evaluations,50,0,10,50.0,50.0,50.0,0,10,0,50.0,0.0,50.0,50.0,worse
20,adam_0.03,adam_0.1,Aheur,gradient_evaluations,50,0,10,50.0,50.0,50.0,0,10,0,50.0,0.0,50.0,50.0,worse
20,adam_0.03,adam_0.1,Aheur,optimisation_seconds,50,0,10,30.27658085990697,28.914624477736652,31.988064515404403,0,10,0,30.27658085990697,2.9277793841902167,32.155733823031184,32.2282272959128,worse
20,adam_0.03,adam_0.1,Amargin,best_expectation,50,0,10,0.3175184726715088,0.29242491722106934,0.33082008361816406,0,10,0,0.3175184726715088,0.01756894588470459,0.4607165098190305,0.5646018981933594,worse
20,adam_0.03,adam_0.1,Amargin,best_expectation_by_50,50,0,10,0.3199942111968994,0.31420207023620605,0.3317112922668457,0,10,0,0.3199942111968994,0.013732552528381348,0.46951584815978975,0.5779376029968262,worse
20,adam_0.03,adam_0.1,Amargin,expectation_at_final_angles,50,0,10,0.3186514377593994,0.30557823181152344,0.33748817443847656,0,10,0,0.3186514377593994,0.029110312461853027,0.4545159816741941,0.5478830337524414,worse
20,adam_0.03,adam_0.1,Amargin,final_P_F,50,0,10,-0.048420837958474294,-0.0871588558275107,-0.031034701545650023,0,10,0,0.048420837958474294,0.049218637016792854,0.1027781512317233,0.10661034156873939,worse
20,adam_0.03,adam_0.1,Amargin,final_P_tau_main,50,0,10,-0.00011580838963709539,-0.0002134548780077239,-6.301064786384813e-05,0,10,0,0.00011580838963709539,0.00013990286601028856,0.00031164345227807633,0.00036732045282406034,worse
20,adam_0.03,adam_0.1,Amargin,final_Q_tau_main_1000,50,0,10,-0.10600422957646105,-0.18655424523779546,-0.0603551190990137,0,10,0,0.10600422957646105,0.11871006668200046,0.25659266325092556,0.29740942811718096,worse
20,adam_0.03,adam_0.1,Amargin,final_P_opt,50,0,10,-7.102110293999431e-05,-8.767303188506048e-05,-4.8261756091960706e-05,0,10,0,7.102110293999431e-05,3.081804356952489e-05,9.144442576598521e-05,9.191804974761908e-05,worse
20,adam_0.03,adam_0.1,Amargin,g_F,50,0,10,0.017266007248074984,-0.004926165090859795,0.04855277815369459,3,7,0,0.02853683269792184,0.04924984055417484,0.063513522346901,0.07093627437632587,worse
20,adam_0.03,adam_0.1,Amargin,rank_best_feasible,50,0,10,6.0,-2.0,48.0,3,7,0,8.0,39.75,66.19999999999997,77.0,worse
20,adam_0.03,adam_0.1,Amargin,objective_evaluations,50,0,10,50.0,50.0,50.0,0,10,0,50.0,0.0,50.0,50.0,worse
20,adam_0.03,adam_0.1,Amargin,gradient_evaluations,50,0,10,50.0,50.0,50.0,0,10,0,50.0,0.0,50.0,50.0,worse
