n_assets,penalty_label,g_off_threshold,tau_name,tau,runs,passes_gap_rule,passes_quality_rule,gap_passes_quality_fails,quality_passes_gap_fails,disagreement_rate
20,Amargin,0.0005,tau_main,0.01,150,18,28,0,10,0.06666666666666667
20,Amargin,0.0005,tau_alt,0.05,150,18,83,0,65,0.43333333333333335
20,Amargin,0.0005,optimum,0.0,150,18,18,0,0,0.0
20,Amargin,0.001,tau_main,0.01,150,19,28,0,9,0.06
20,Amargin,0.001,tau_alt,0.05,150,19,83,0,64,0.4266666666666667
20,Amargin,0.001,optimum,0.0,150,19,18,1,0,0.006666666666666667
20,Amargin,0.002,tau_main,0.01,150,24,28,0,4,0.02666666666666667
20,Amargin,0.002,tau_alt,0.05,150,24,83,0,59,0.3933333333333333
20,Amargin,0.002,optimum,0.0,150,24,18,6,0,0.04
20,Aheur,0.0001,tau_main,0.01,149,18,9,9,0,0.06040268456375839
20,Aheur,0.0001,tau_alt,0.05,149,18,65,0,47,0.31543624161073824
20,Aheur,0.0001,optimum,0.0,149,18,4,14,0,0.09395973154362416
20,Aheur,0.0005,tau_main,0.01,149,82,9,73,0,0.4899328859060403
20,Aheur,0.0005,tau_alt,0.05,149,82,65,17,0,0.11409395973154363
20,Aheur,0.0005,optimum,0.0,149,82,4,78,0,0.5234899328859061
20,Aheur,0.001,tau_main,0.01,149,122,9,113,0,0.7583892617449665
20,Aheur,0.001,tau_alt,0.05,149,122,65,57,0,0.3825503355704698
20,Aheur,0.001,optimum,0.0,149,122,4,118,0,0.7919463087248322
20,Aheur,0.002,tau_main,0.01,149,142,9,133,0,0.8926174496644296
20,Aheur,0.002,tau_alt,0.05,149,142,65,77,0,0.5167785234899329
20,Aheur,0.002,optimum,0.0,149,142,4,138,0,0.9261744966442953
