spec_version,arm,backend,precision,n_assets,n_select,instance,instance_digest,qaoa_seed,e1_run_id,penalty_label,penalty,p_layers,angles,f_star,delta_F,feasible_set_size,data_start,data_end,status,hamiltonian_scale,shot_seed,shot_seed_applied,batches,shots,task_arn,execution_ms,seconds,final_probs_sum,final_P_F,final_P_opt,final_P_tau_main,final_P_tau_alt,final_expected_f,final_expected_violation,final_Q_tau_main_10,final_Q_opt_10,final_Q_tau_main_100,final_Q_opt_100,final_Q_tau_main_1000,final_Q_opt_1000,final_Q_tau_main_10000,final_Q_opt_10000
e4a-v1,cpu_double,lightning_cpu,double,16,3,0,514ae30a9bf6,43,N16_i00_Aheur_s43,Aheur,16.999999999972275,2,1.8657604696531571 0.020894816108035355 -0.065582775811690253 2.9969708670042756,-0.2671105968767471,1.2705106296258624,560,2023-08-06,2026-08-05,ok,85.75412863060436,20260912,True,10,1000,,,1.4510000562295318,0.9999999999999842,0.0005677007167147338,1.020133363226568e-06,3.0400292324323246e-06,7.019496710301109e-06,3.0856249981213404,22.69207402642941,3.039987644792852e-05,1.0201286802180576e-05,0.0003039571809888564,0.00010200818516759025,0.003035417629453363,0.00101961372388637,0.029942895436576245,0.010149481665944315
e4a-v1,cpu_double,lightning_cpu,double,16,3,1,f9598a6bfdd0,42,N16_i01_Aheur_s42,Aheur,16.999999999977796,2,0.74306331081002575 1.4427238507351057 2.7320187694991369 1.6574624689908404,0.13112281842114482,1.2939192012170153,560,2023-08-06,2026-08-05,ok,85.93887363468885,20260912,True,10,1000,,,1.374041193164885,0.9999999999999853,0.37734296358493913,0.0006705271372746511,0.0006705271372746511,0.0020119429111653043,1.3151358582812662,3.9973577590112574,0.00668507520826267,0.00668507520826267,0.06487512654499783,0.06487512654499783,0.48867610344807244,0.48867610344807244,0.9987783103402035,0.9987783103402035
e4a-v1,cpu_double,lightning_cpu,double,16,3,1,f9598a6bfdd0,43,N16_i01_Aheur_s43,Aheur,16.999999999977796,2,1.866648773795663 0.02149466056853867 -0.066173341255903725 2.9967322928884599,0.13112281842114482,1.2939192012170153,560,2023-08-06,2026-08-05,ok,85.93887363468885,20260912,True,10,1000,,,1.37425138335675,0.9999999999999887,0.0005366142610524745,9.502901506805575e-07,9.502901506805575e-07,2.8542472060950397e-06,4.755780090618801,22.66649819422555,9.502860869647911e-06,9.502860869647911e-06,9.50245451025733e-05,9.50245451025733e-05,0.0009498392190855354,0.0009498392190855354,0.009457896098495233,0.009457896098495233
e4a-v1,cpu_double,lightning_cpu,double,20,4,0,88802fd9d289,42,N20_i00_Aheur_s42,Aheur,20.999999999965347,2,2.549594337107866 1.6837739916247021 2.8710969451053501 2.009847999970034,-0.15232144256321223,1.9296468975432697,4845,2023-08-06,2026-08-05,ok,126.8336428003847,20260912,True,10,1000,,,22.185551695525646,0.9999999999999822,0.04699973801602891,9.796359780318333e-06,3.929108396830181e-05,0.00023603889578104666,4.228163251611537,35.5444131944954,0.00039284137644357564,9.795927932554349e-05,0.003921476438817795,0.0009791610851204169,0.038529942499295866,0.009748579272256364,0.32491627504509724,0.09331852670106189
e4a-v1,cpu_double,lightning_cpu,double,20,4,0,88802fd9d289,43,N20_i00_Aheur_s43,Aheur,20.999999999965347,2,1.9005516930172133 0.044325096520901372 -0.084808062314613838 2.9987411652124991,-0.15232144256321223,1.9296468975432697,4845,2023-08-06,2026-08-05,ok,126.8336428003847,20260912,True,10,1000,,,22.367913775146008,0.9999999999999863,0.004240391517824328,8.714642327765401e-07,3.4859580532493974e-06,2.0905236361168658e-05,4.190043418588385,30.35009448027894,3.4859033701595266e-05,8.714608152549097e-06,0.00034853566024839466,8.714266410758675e-05,0.003479895210287798,0.0008710849974982171,0.03425904310167838,0.00867678366229252
e4a-v1,cpu_double,lightning_cpu,double,20,4,1,9f06c1dc6e9a,42,N20_i01_Aheur_s42,Aheur,20.99999999997685,2,2.5470571607990928 1.6819246629326174 2.8710914090557091 2.0099534611414791,-0.05194130964678845,1.6573123108875516,4845,2023-08-06,2026-08-05,ok,126.65221025509658,20260912,True,10,1000,,,22.23988334555179,0.9999999999999802,0.04747662860134047,9.881778840314875e-06,9.881778840314875e-06,1.97839237865746e-05,3.957709259277007,35.54369515617497,9.881339428907676e-05,9.881339428907676e-05,0.0009876946747391369,0.0009876946747391369,0.009833162837473375,0.009833162837473375,0.09409268242480684,0.09409268242480684
e4a-v1,cpu_double,lightning_cpu,double,20,4,1,9f06c1dc6e9a,43,N20_i01_Aheur_s43,Aheur,20.99999999997685,2,1.8982487231981187 0.044053902645595028 -0.084632481284101183 2.9987718758133686,-0.05194130964678845,1.6573123108875516,4845,2023-08-06,2026-08-05,ok,126.65221025509658,20260912,True,10,1000,,,22.221603428944945,0.999999999999984,0.00421126633595338,8.64491533550323e-07,8.64491533550323e-07,1.7298357559483577e-06,3.969030017958775,30.35166547521543,8.644881705377472e-06,8.644881705377472e-06,8.644545410174675e-05,8.644545410174675e-05,0.0008641183417809062,0.0008641183417809062,0.008607659206468443,0.008607659206468443
e4a-v1,gpu_single,lightning_gpu,single,12,2,1,3798cace2ea7,43,N12_i01_Aheur_s43,Aheur,12.999999999983347,2,1.8320385937237138 0.00059987955034510433 -0.045127650519484704 2.9833103641215408,0.15347271196197812,0.6821104373880992,66,2023-08-06,2026-08-05,ok,52.83619466974709,20260912,True,10,1000,,,0.5725185684859753,0.9999983769921528,0.009937588081811555,0.00015015876851975918,0.00015015876851975918,0.00015015876851975918,3.877672632306701,15.564240480944136,0.0015005734468689358,0.0015005734468689358,0.01490481144039646,0.01490481144039646,0.13943836890848327,0.13943836890848327,0.77724893572741,0.77724893572741
e4a-v1,gpu_single,lightning_gpu,single,16,3,0,514ae30a9bf6,42,N16_i00_Aheur_s42,Aheur,16.999999999972275,2,0.74274147571645022 1.4405996686222429 2.73269036940555 1.6581154527861004,-0.2671105968767471,1.2705106296258624,560,2023-08-06,2026-08-05,ok,85.75412863060436,20260912,True,10,1000,,,0.40040674805641174,1.000000214418037,0.37682731926906854,0.0006685237749479711,0.002007886185310781,0.004693400696851313,0.6897864809570426,4.011205755139656,0.019898407536960483,0.00666516197939393,0.18207977298239186,0.06468764284640383,0.8659985544205832,0.48765002196622353,0.9999999981332127,0.9987535719348082
e4a-v1,gpu_single,lightning_gpu,single,16,3,0,514ae30a9bf6,43,N16_i00_Aheur_s43,Aheur,16.999999999972275,2,1.8657604696531571 0.020894816108035355 -0.065582775811690253 2.9969708670042756,-0.2671105968767471,1.2705106296258624,560,2023-08-06,2026-08-05,ok,85.75412863060436,20260912,True,10,1000,,,0.3909671837463975,1.0000018454529709,0.0005677020053553861,1.0201343911830918e-06,3.040031629097939e-06,7.019503300398355e-06,3.0856302242653086,22.692115132823574,3.039990041364682e-05,1.0201297081624539e-05,0.0003039574205805362,0.00010200828795281502,0.0030354200188242864,0.0010196147507947062,0.029942918685408215,0.010149491841177527
e4a-v1,gpu_single,lightning_gpu,single,16,3,1,f9598a6bfdd0,42,N16_i01_Aheur_s42,Aheur,16.999999999977796,2,0.74306331081002575 1.4427238507351057 2.7320187694991369 1.6574624689908404,0.13112281842114482,1.2939192012170153,560,2023-08-06,2026-08-05,ok,85.93887363468885,20260912,True,10,1000,,,0.38681779615581036,0.9999981382724172,0.37734235514653847,0.0006705258274450898,0.0006705258274450898,0.0020119399996474385,1.3151331874334482,3.997349962583314,0.0066850621888000505,0.0066850621888000505,0.0648750039773831,0.0648750039773831,0.488675433251085,0.488675433251085,0.998778294327309,0.998778294327309
e4a-v1,gpu_single,lightning_gpu,single,16,3,1,f9598a6bfdd0,43,N16_i01_Aheur_s43,Aheur,16.999999999977796,2,1.866648773795663 0.02149466056853867 -0.066173341255903725 2.9967322928884599,0.13112281842114482,1.2939192012170153,560,2023-08-06,2026-08-05,ok,85.93887363468885,20260912,True,10,1000,,,0.39733808394521475,1.0000012909470684,0.0005366150222130273,9.502907118985604e-07,9.502907118985604e-07,2.8542525001284957e-06,4.755787489639445,22.666541432300164,9.502866481714278e-06,9.502866481714278e-06,9.502460121901812e-05,9.502460121901812e-05,0.0009498397797707003,0.0009498397797707003,0.009457901657598522,0.009457901657598522
e4a-v1,gpu_single,lightning_gpu,single,20,4,0,88802fd9d289,42,N20_i00_Aheur_s42,Aheur,20.999999999965347,2,2.549594337107866 1.6837739916247021 2.8710969451053501 2.009847999970034,-0.15232144256321223,1.9296468975432697,4845,2023-08-06,2026-08-05,ok,126.8336428003847,20260912,True,10,1000,,,0.9970846539363265,0.9999991234768348,0.04699944201911421,9.796306585485581e-06,3.9290866880037356e-05,0.00023603746922162827,4.228159437213845,35.5443820993267,0.00039283920632871006,9.79587474246868e-05,0.003921454814274972,0.0009791557707987675,0.0385297337672329,0.009748526595530493,0.3249148094585702,0.0933180443889764
e4a-v1,gpu_single,lightning_gpu,single,20,4,0,88802fd9d289,43,N20_i00_Aheur_s43,Aheur,20.999999999965347,2,1.9005516930172133 0.044325096520901372 -0.084808062314613838 2.9987411652124991,-0.15232144256321223,1.9296468975432697,4845,2023-08-06,2026-08-05,ok,126.8336428003847,20260912,True,10,1000,,,0.7432265263050795,1.0000011147269987,0.004240396390514434,8.714658292774402e-07,3.4859622246585786e-06,2.090525248377162e-05,4.1900480456986955,30.350128068694644,3.48590754146727e-05,8.714624117445169e-06,0.0003485360772486068,8.714282374389093e-05,0.003479899367227146,0.0008710865926095934,0.034259083387131906,0.008676799488788411
e4a-v1,gpu_single,lightning_gpu,single,20,4,1,9f06c1dc6e9a,42,N20_i01_Aheur_s42,Aheur,20.99999999997685,2,2.5470571607990928 1.6819246629326174 2.8710914090557091 2.0099534611414791,-0.05194130964678845,1.6573123108875516,4845,2023-08-06,2026-08-05,ok,126.65221025509658,20260912,True,10,1000,,,0.7528133662417531,1.0000020312732048,0.04747660471821291,9.881771802611183e-06,9.881771802611183e-06,1.9783913558057975e-05,3.9577173702477912,35.54376823101962,9.881332391825648e-05,9.881332391825648e-05,0.0009876939716568778,0.0009876939716568778,0.009833155868903654,0.009833155868903654,0.09409261866910135,0.09409261866910135
e4a-v1,gpu_single,lightning_gpu,single,20,4,1,9f06c1dc6e9a,43,N20_i01_Aheur_s43,Aheur,20.99999999997685,2,1.8982487231981187 0.044053902645595028 -0.084632481284101183 2.9987718758133686,-0.05194130964678845,1.6573123108875516,4845,2023-08-06,2026-08-05,ok,126.65221025509658,20260912,True,10,1000,,,0.7288293018937111,1.0000021029441584,0.004211274511760621,8.644910849398002e-07,8.644910849398002e-07,1.7298364696216595e-06,3.9690384767871922,30.351729895354417,8.64487721896623e-06,8.64487721896623e-06,8.644540924152011e-05,8.644540924152011e-05,0.0008641178935271387,0.0008641178935271387,0.008607654758670868,0.008607654758670868
