arm,n_assets,instance,qaoa_seed,batches,shots,P_F_exact,feasible_fraction_mean,feasible_fraction_min,feasible_fraction_max,feasible_count_z_max_abs,batches_within_2sd,no_feasible_shot_batches,min_energy_shot_infeasible_batches,g_F_best_feasible_min,g_F_best_feasible_median,g_F_best_feasible_max,batches_best_feasible_optimal,batches_best_feasible_within_tau,distinct_best_feasible,distinct_min_energy_shot,shots_within_tau_total,expected_shots_within_tau,mc_distinct_best_median,mc_distinct_best_p025,mc_distinct_best_p975,mc_no_feasible_batches_mean
gpu_single,16,0,43,10,1000,0.0005677020053553861,0.0001,0.0,0.001,0.7536739838871713,10,9,9,0.4222713659928876,0.4222713659928876,0.4222713659928876,0,0,1,10,0,0.03040031629097939,4.0,2.0,7.0,5.714
gpu_single,16,1,42,10,1000,0.37734235514653847,0.3703,0.359,0.389,1.19663763584868,10,0,0,0.0,0.0,0.04188215627858191,6,6,3,3,8,6.705258274450898,4.0,2.0,5.0,0.0
gpu_single,16,1,43,10,1000,0.0005366150222130273,0.00030000000000000003,0.0,0.003,3.3637013635974418,9,9,9,0.19341110950401377,0.19341110950401377,0.19341110950401377,0,0,1,9,0,0.009502907118985604,4.0,1.0,7.0,5.804
gpu_single,20,0,42,10,1000,0.04699944201911421,0.044899999999999995,0.032,0.056,2.241208057211544,9,0,0,0.0061444120337393986,0.06829221805352303,0.17763101295890896,0,1,10,10,1,0.39290866880037356,10.0,9.0,10.0,0.0
gpu_single,20,0,43,10,1000,0.004240396390514434,0.0059,0.002,0.009,2.3162759894496436,8,0,0,0.09592943639031416,0.14882965604827708,0.5776444815456535,0,0,10,10,0,0.034859622246585786,10.0,9.0,10.0,0.15
gpu_single,20,1,42,10,1000,0.04747660471821291,0.046,0.039,0.057,1.4161659842122958,10,0,0,0.11875424584421959,0.1760695055151843,0.23104122990531328,0,0,10,10,0,0.09881771802611183,10.0,9.0,10.0,0.0
gpu_single,20,1,43,10,1000,0.004211274511760621,0.0040999999999999995,0.001,0.007,1.568148019747591,10,0,0,0.1603627027206096,0.2878752884581112,0.36135107078780604,0,0,10,10,0,0.008644910849398002,10.0,9.0,10.0,0.166
sv1,12,0,42,10,1000,0.17169155625674473,0.1689,0.147,0.188,2.0705129473332633,9,0,0,0.0,0.0,0.08246008551089888,9,9,2,2,20,24.30905148508349,2.0,1.0,3.0,0.0
sv1,12,0,43,10,1000,0.009917302807928772,0.010499999999999999,0.007,0.019,2.898560123399355,9,0,0,0.08246008551089888,0.24272677891182987,0.4128917079470388,0,0,7,7,0,1.496150846432082,7.0,5.0,9.0,0.0
sv1,12,1,42,10,1000,0.178939551718306,0.1823,0.166,0.211,2.6450193408682283,8,0,0,0.0,0.0,0.0616136650977683,7,7,2,2,14,25.384735742826486,2.0,1.0,3.0,0.0
sv1,12,1,43,10,1000,0.00993761195953237,0.0081,0.003,0.013,2.211758507595944,9,0,0,0.0,0.15147525406908025,0.4868813705449044,1,1,8,8,1,1.5015908573988646,7.0,5.0,9.0,0.004
sv1,16,0,42,10,1000,0.3768272625237604,0.3721,0.323,0.395,3.512585571851729,9,0,0,0.0,0.002464256928998336,0.05145891280735623,5,7,4,4,17,20.0788620784121,4.0,2.0,6.0,0.0
sv1,16,0,43,10,1000,0.000567700716714817,0.0004,0.0,0.001,0.7536731280093635,10,6,6,0.32104025561351923,0.38708420826932044,0.5394096377901456,0,0,4,10,0,0.030400292324328938,4.0,1.0,7.0,5.718
sv1,16,1,42,10,1000,0.37734296358493397,0.3809,0.36,0.405,1.8043179239366736,10,0,0,0.0,0.0,0.04188215627858191,6,6,3,3,8,6.705271372746447,4.0,2.0,6.0,0.0
sv1,16,1,43,10,1000,0.00053661426105244,0.0005,0.0,0.002,1.9982244509738687,10,7,7,0.31494558858169547,0.39383935696363054,0.5651311726559557,0,0,3,10,0,0.009502901506805474,4.0,1.0,7.524999999999977,5.922
sv1,20,0,42,10,1000,0.04699973801604228,0.046299999999999994,0.037,0.056,1.4941506684915455,10,0,0,0.01935782399925927,0.07709894819029639,0.1787356219910505,0,0,10,10,0,0.392910839683133,10.0,9.0,10.0,0.0
sv1,20,0,43,10,1000,0.00424039151782412,0.0028,0.0,0.007,2.0636009810233333,9,1,1,0.0977823575712218,0.2743116159453763,0.4681689170507209,0,0,9,10,0,0.034859580532491954,10.0,9.0,10.0,0.144
