sweep,n_assets,n_select,qaoa_seed,p_layers,energy_quantum,energy_classical,gap_pct,runtime_s,feasible,sharpe_ratio,classical_method,backend,precision,steps,shots,data_start,data_end
grid,20,4,43,3,-336.07309603508963,-336.15232144200877,0.023568305754747963,83.64905080851167,True,1.2368737986572809,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,44,3,-336.1358449771381,-336.15232144200877,0.004901487754118071,84.01619681809098,True,1.4638807071588888,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,45,3,-336.1404648963906,-336.15232144200877,0.0035271348320044726,83.79519665054977,True,1.4360383792399112,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,46,3,-336.1358449771381,-336.15232144200877,0.004901487754118071,83.74875054694712,True,1.4638807071588888,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,42,4,-336.1358449771381,-336.15232144200877,0.004901487754118071,109.08107310906053,True,1.4638807071588888,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,43,4,-336.13200296973514,-336.15232144200877,0.006044424202239172,109.20263874717057,True,1.432938341920896,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,44,4,-336.06167908120733,-336.15232144200877,0.02696466899666389,109.38698173500597,True,1.173115982837503,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,45,4,-335.7732680627294,-336.15232144200877,0.11276238630550336,108.97980700992048,True,0.9201742741597952,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,46,4,-336.1222593946752,-336.15232144200877,0.008942983705898515,109.13986822403967,True,1.4638129909258697,brute_force,lightning_gpu,single,100,1000,2023-08-06,2026-08-05
grid,20,4,42,1,-335.46250454567036,-336.15232144200877,0.20520961847869235,134.70860508736223,True,1.0670542580529838,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,43,1,-335.61176430816744,-336.15232144200877,0.16080719940367466,134.686186731793,True,0.7681955660998705,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,44,1,-336.1250631906614,-336.15232144200877,0.008108898736863402,135.00553957000375,True,1.2035613075431266,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,45,1,-313.89523946038975,-336.15232144200877,6.621129934828875,134.68666385672987,False,0.9910991027273247,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,46,1,-335.6436995389663,-336.15232144200877,0.1513069732377892,134.63372531160712,True,1.2254569029580569,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,42,2,-336.0241775201415,-336.15232144200877,0.03812079039572237,234.2549752118066,True,1.4247434936855883,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,43,2,-336.13200296973514,-336.15232144200877,0.006044424202239172,235.29798649437726,True,1.432938341920896,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,44,2,-336.09256932465445,-336.15232144200877,0.017775310043375535,234.2878992939368,True,1.31791972028434,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,45,2,-335.9993435725548,-336.15232144200877,0.045508497099694234,234.92418762482703,True,1.1537023463428484,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,46,2,-336.0120874273493,-336.15232144200877,0.041717401818888306,234.49537202343345,True,1.0604108260134408,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,42,3,-335.968152265758,-336.15232144200877,0.05478741763873849,334.3665730478242,True,1.3322164758490231,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,43,3,-336.09614319305985,-336.15232144200877,0.016712140706907543,334.7691724784672,True,1.3770110054553402,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,44,3,-336.1404648963906,-336.15232144200877,0.0035271348320044726,335.21035167295486,True,1.4360383792399112,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,45,3,-336.1358449771381,-336.15232144200877,0.004901487754118071,334.7180345626548,True,1.4638807071588888,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,46,3,-336.06167908120733,-336.15232144200877,0.02696466899666389,334.23544195573777,True,1.173115982837503,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,42,4,-336.07853556721267,-336.15232144200877,0.021950130964313593,435.5751678645611,True,1.1836913736499022,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,43,4,-336.05223367511553,-336.15232144200877,0.02977452794729712,435.24687619227916,True,1.3679414394732625,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,44,4,-336.15232144200877,-336.15232144200877,0.0,435.388083267957,True,1.4732051545372367,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,45,4,-335.6754568878022,-336.15232144200877,0.14185966414300338,435.8010863205418,True,1.2415059010982192,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,20,4,46,4,-336.0597337467269,-336.15232144200877,0.027543375242709008,459.77195926290005,True,1.351865355287319,brute_force,lightning_gpu,single,400,1000,2023-08-06,2026-08-05
grid,16,3,42,1,-152.93043355841212,-153.26711059662722,0.2196668527934715,9.15222101751715,True,0.6697549326483023,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,43,1,-136.31122240693344,-153.26711059662722,11.062965905528664,9.170142891816795,False,1.4769921972761015,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
grid,16,3,44,1,-153.2608488673824,-153.26711059662722,0.004085500940441283,9.01157258450985,True,1.376780890762973,exact,lightning_gpu,single,50,1000,2023-08-06,2026-08-05
